lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
Netherlands,3.8,3.5,4.2,-2.4,-2.9,-1.8,0.06,0.06,0.07,0.05,0.04,0.05,79.8,79.6,79.9,83.2,83.1,83.4,81.5,81.4,81.7,169.6,167.7,171.6,0.1,0.1,0.1,15021.161877802972,15251.533681772182
Norway,2.1,1.8,2.4,-3.9,-4.6,-3.2,0.06,0.06,0.06,0.04,0.04,0.04,81.7,81.5,81.8,84.9,84.7,85.1,83.3,83.1,83.4,41.9,41.3,42.6,0,0,0,-195.84516402673276,799.6100082232238
Portugal,2.9,2.6,3.3,-4.4,-5,-3.8,0.1,0.1,0.1,0.04,0.04,0.04,78.5,78.3,78.7,84.4,84.3,84.6,81.5,81.4,81.7,123,121.6,124.5,0,0,0,10960.346104684708,10318.451055969133
San Marino,1.7,1.1,2.3,-5.3,-7.3,-3.4,0.06,0.04,0.08,0.03,0.02,0.04,84.4,81.4,87.1,88.1,85.3,91,86.2,83.3,89,0.3,0.2,0.3,0,0,0,22.22779528714409,26.78753220845802
Spain,3,2.7,3.3,-2.9,-3.3,-2.4,0.08,0.07,0.08,0.04,0.04,0.04,79.9,79.8,80,85.7,85.6,85.8,82.9,82.8,82.9,445.2,441.8,448.4,0.2,0.2,0.2,72125.85709677605,21714.480278783503
Sweden,2.3,2,2.5,-2.6,-3.2,-2,0.06,0.05,0.06,0.04,0.03,0.04,82,80.9,83,85,84.1,85.9,83.5,82.8,84.2,92,86,98.7,0,0,0,8627.594200842112,1382.5071468610238
Switzerland,3.7,3.3,4.2,-2.4,-3,-1.7,0.05,0.05,0.05,0.03,0.03,0.03,82.5,82.3,82.7,86.4,86.2,86.6,84.5,84.3,84.7,69.7,68.7,70.7,0,0,0,8842.93513526091,2940.716244189099
UK,4.2,3.8,4.6,-2.3,-2.9,-1.7,0.1,0.1,0.1,0.06,0.06,0.06,78.2,78.1,78.3,82.4,82.3,82.5,80.3,80.2,80.3,686.2,682.6,689.7,0.3,0.3,0.3,82347.42258057646,54694.495276721274
Latin America and Caribbean,16.5,13.4,20.2,-3.5,-4.5,-2.5,0.23,0.22,0.24,0.13,0.12,0.13,68.9,68.1,69.7,75.9,75.2,76.6,72.3,71.5,73,4978.2,4770.3,5204.1,13.4,12,15,922029.0312524451,1389337.6287165398
Andean Latin America,16.7,13.1,20.8,-4.8,-6,-3.6,0.22,0.2,0.24,0.13,0.11,0.14,68.3,66.9,69.6,74.3,72.9,75.5,71.1,69.8,72.4,564.9,513.6,620.9,2.2,1.9,2.5,220199.4035216343,246105.16589322058
